Aluguel,Extras,Localização,Tamanho,Quartos,Banheiros,Link,Bairro
R$ 1.800 /mês,0.0,"Rua Renato Guilherme Kaiser, 277 - Capim Macio, Natal - RN",52,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-capim-macio-bairros-natal-com-garagem-52m2-aluguel-RS1800-id-2746240402/,Capim Macio
R$ 2.800 /mês,0.0,"Tirol, Natal - RN",57,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-tirol-bairros-natal-com-garagem-57m2-aluguel-RS2800-id-2746825708/,Tirol
R$ 2.290 /mês,0.0,"Rua Antônio Madruga, 1959 - Capim Macio, Natal - RN",55,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-capim-macio-bairros-natal-com-garagem-55m2-aluguel-RS2290-id-2741992007/,Capim Macio
R$ 2.200 /mês,0.0,"Rua José Mauro de Vasconcelos, 1915 - Capim Macio, Natal - RN",65,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capim-macio-bairros-natal-com-garagem-65m2-aluguel-RS2200-id-2744626049/,Capim Macio
R$ 2.000 /mês,0.0,"Rua Desembargador Dionísio Filgueira, 777 - Petrópolis, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-petropolis-bairros-natal-com-garagem-56m2-aluguel-RS2000-id-2738572140/,Petrópolis
R$ 2.100 /mês,0.0,"Avenida Estrela do Mar - Ponta Negra, Natal - RN",50,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-50m2-aluguel-RS2100-id-2745734301/,Ponta Negra
"R$ 1.400 /mês
Preço abaixo do mercado",450.0,"Rua General Gustavo Cordeiro de Faria, 345 - Ribeira, Natal - RN",70,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ribeira-bairros-natal-com-garagem-70m2-aluguel-RS1400-id-2739601848/,Ribeira
R$ 1.800 /mês,0.0,"Rua Joaquim Eduardo de Farias, 190 - Ponta Negra, Natal - RN",57,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-57m2-aluguel-RS1800-id-2650527341/,Ponta Negra
R$ 1.800 /mês,460.0,"Rua Lúcia Viveiros - Neópolis, Natal - RN",64,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-neopolis-bairros-natal-com-garagem-64m2-aluguel-RS1800-id-2740272441/,Neópolis
R$ 2.000 /mês,0.0,"Rua Professor Pedro Pinheiro de Souza, 95 - Ponta Negra, Natal - RN",54,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-54m2-aluguel-RS2000-id-2741958862/,Ponta Negra
R$ 1.350 /mês,1.0,"Rua da Sorveira, 7795 - Pitimbu, Natal - RN",130,3 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-pitimbu-bairros-natal-com-garagem-130m2-aluguel-RS1350-id-2743596156/,Pitimbu
R$ 1.850 /mês,0.0,"Rua Desportista Jeremias Pinheiro da Câmara Filho, 270 - Ponta Negra, Natal - RN",54,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-54m2-aluguel-RS1850-id-2736793024/,Ponta Negra
R$ 2.300 /mês,0.0,"Rua Desportista Jeremias Pinheiro da Câmara Filho, 270 - Ponta Negra, Natal - RN",53,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-53m2-aluguel-RS2300-id-2742010299/,Ponta Negra
R$ 2.000 /mês,0.0,"Rua Desportista Jeremias Pinheiro da Câmara Filho, 270 - Ponta Negra, Natal - RN",56,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-56m2-aluguel-RS2000-id-2738092285/,Ponta Negra
R$ 1.750 /mês,0.0,"Rua Edson Teixeira da Silva, 270 - Ponta Negra, Natal - RN",54,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-54m2-aluguel-RS1750-id-2746746103/,Ponta Negra
R$ 2.122 /mês,0.0,"Avenida Antônio Basílio, 2203 - Lagoa Nova, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-nova-bairros-natal-com-garagem-56m2-aluguel-RS2122-id-2746540272/,Lagoa Nova
R$ 1.750 /mês,0.0,"Rua Joaquim Eduardo de Farias, 209 - Neópolis, Natal - RN",55,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-neopolis-bairros-natal-com-garagem-55m2-aluguel-RS1750-id-2739603767/,Neópolis
R$ 2.500 /mês,0.0,"Rua Pedro Fonseca Filho, 8963 - Ponta Negra, Natal - RN",55,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-55m2-aluguel-RS2500-id-1041438947/,Ponta Negra
R$ 1.800 /mês,0.0,"Rua Praia de Camurupim, 8963 - Ponta Negra, Natal - RN",33,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-ponta-negra-bairros-natal-com-garagem-33m2-aluguel-RS1800-id-2548883553/,Ponta Negra
R$ 2.100 /mês,0.0,"Rua Professor Pedro Pinheiro de Souza, 95 - Ponta Negra, Natal - RN",54,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-54m2-aluguel-RS2100-id-2747791107/,Ponta Negra
R$ 2.500 /mês,0.0,"Rua Historiador Francisco Fausto de Souza, 885 - Capim Macio, Natal - RN",54,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-capim-macio-bairros-natal-com-garagem-54m2-aluguel-RS2500-id-2716752808/,Capim Macio
R$ 1.900 /mês,0.0,"Avenida Almirante Alexandrino de Alencar - Lagoa Seca, Natal - RN",50,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-seca-bairros-natal-com-garagem-50m2-aluguel-RS1900-id-2746748597/,Lagoa Seca
R$ 3.000 /mês,0.0,"Rua da Lagosta - Ponta Negra, Natal - RN",85,3 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ponta-negra-bairros-natal-com-garagem-85m2-aluguel-RS3000-id-2746239810/,Ponta Negra
R$ 2.600 /mês,0.0,"Avenida Amintas Barros, 14207 - Nossa Senhora de Nazaré, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-nossa-senhora-de-nazare-bairros-natal-com-garagem-56m2-aluguel-RS2600-id-2735695219/,Nossa Senhora de Nazaré
"R$ 1.380 /mês
Preço abaixo do mercado",532.0,"Avenida Antônio Basílio, 2203 - Lagoa Nova, Natal - RN",56,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-nova-bairros-natal-com-garagem-56m2-aluguel-RS1380-id-2745246531/,Lagoa Nova
R$ 2.200 /mês,1.0,"Avenida das Brancas Dunas, 4500 - Candelária, Natal - RN",57,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-candelaria-bairros-natal-com-garagem-57m2-aluguel-RS2200-id-2565714696/,Candelária
R$ 2.600 /mês,0.0,"Rua Antônio Madruga - Capim Macio, Natal - RN",67,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-capim-macio-bairros-natal-com-garagem-67m2-aluguel-RS2600-id-2744035828/,Capim Macio
R$ 1.800 /mês,0.0,"Avenida Almirante Alexandrino de Alencar - Lagoa Seca, Natal - RN",50,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-seca-bairros-natal-com-garagem-50m2-aluguel-RS1800-id-2736694218/,Lagoa Seca
"R$ 1.410 /mês
Preço abaixo do mercado",583.0,"Rua Sérgio Severo, 1135 - Lagoa Nova, Natal - RN",57,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-nova-bairros-natal-com-garagem-57m2-venda-RS295000-id-2745247049/,Lagoa Nova
R$ 1.400 /mês,0.0,"Rua Praia do Poço, 2135 - Cidade Verde, Natal - RN",50,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-verde-bairros-natal-com-garagem-50m2-aluguel-RS1400-id-2598206182/,Cidade Verde
R$ 1.410 /mês,583.0,"Rua Sérgio Severo, 1135 - Lagoa Nova, Natal - RN",57,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-nova-bairros-natal-com-garagem-57m2-aluguel-RS1410-id-2741730965/,Lagoa Nova
R$ 2.050 /mês,0.0,"Capim Macio, Natal - RN",63,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capim-macio-bairros-natal-com-garagem-63m2-aluguel-RS2050-id-2740952572/,Capim Macio
R$ 2.100 /mês,0.0,"Rua Historiador Francisco Fausto de Souza, 885 - Capim Macio, Natal - RN",54,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-capim-macio-bairros-natal-com-garagem-54m2-aluguel-RS2100-id-2735626528/,Capim Macio
R$ 2.890 /mês,0.0,"Rua Lúcia Viveiros, 649 - Neópolis, Natal - RN",92,3 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-neopolis-bairros-natal-92m2-aluguel-RS2890-id-2730848443/,Neópolis
R$ 2.100 /mês,0.0,"Rua Jornalista Haroldo Gurgel, 1915 - Lagoa Nova, Natal - RN",55,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-nova-bairros-natal-com-garagem-55m2-venda-RS260000-id-2746542809/,Lagoa Nova
R$ 1.800 /mês,550.0,"Rua dos Pintassilgos, 70 - Pitimbu, Natal - RN",57,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pitimbu-bairros-natal-com-garagem-57m2-aluguel-RS1800-id-2745250599/,Pitimbu
R$ 2.800 /mês,0.0,"Ponta Negra, Natal - RN",55,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-55m2-aluguel-RS2800-id-2741245300/,Ponta Negra
R$ 1.400 /mês,0.0,"Rua Minas Novas, 225 - Neópolis, Natal - RN",56,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-neopolis-bairros-natal-com-garagem-56m2-aluguel-RS1400-id-2747731226/,Neópolis
R$ 2.500 /mês,0.0,"Rua Desembargador Régulo Tinoco, 1327 - Barro Vermelho, Natal - RN",58,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-barro-vermelho-bairros-natal-com-garagem-58m2-aluguel-RS2500-id-2734975034/,Barro Vermelho
R$ 700 /mês,330.0,"Neópolis, Natal - RN",55,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-neopolis-bairros-natal-com-garagem-55m2-aluguel-RS700-id-2746367917/,Neópolis
R$ 2.300 /mês,0.0,"Rua Lúcia Viveiros, 649 - Neópolis, Natal - RN",72,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-neopolis-bairros-natal-com-garagem-72m2-aluguel-RS2300-id-2746695529/,Neópolis
R$ 1.400 /mês,0.0,"Avenida Hermes da Fonseca, 1288 - Tirol, Natal - RN",70,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tirol-bairros-natal-com-garagem-70m2-aluguel-RS1400-id-2746541134/,Tirol
R$ 2.500 /mês,0.0,"Rua dos Potiguares, 2323 - Lagoa Nova, Natal - RN",63,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-nova-bairros-natal-com-garagem-63m2-aluguel-RS2500-id-2724727434/,Lagoa Nova
R$ 1.400 /mês,0.0,"Rua Doutor Amaro Ienaga, 370 - Pajuçara, Natal - RN",54,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pajucara-bairros-natal-com-garagem-54m2-aluguel-RS1400-id-2577461242/,Pajuçara
R$ 1.800 /mês,0.0,"Rua Berilo Wanderley, 2094 - Lagoa Nova, Natal - RN",27,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-lagoa-nova-bairros-natal-com-garagem-27m2-venda-RS200000-id-2688732334/,Lagoa Nova
R$ 2.200 /mês,0.0,"Avenida Capitão-mor Gouveia, 1135 - Nossa Senhora de Nazaré, Natal - RN",70,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-nossa-senhora-de-nazare-bairros-natal-com-garagem-70m2-aluguel-RS2200-id-2652243264/,Nossa Senhora de Nazaré
R$ 3.000 /mês,0.0,"Rua Doutor Manoel Augusto Bezerra de Araújo - Ponta Negra, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-56m2-aluguel-RS3000-id-2744829508/,Ponta Negra
R$ 1.900 /mês,0.0,"Avenida Praia de Pirangi, 2230 - Ponta Negra, Natal - RN",48,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-48m2-aluguel-RS1900-id-2746925301/,Ponta Negra
R$ 2.700 /mês,0.0,"Lagoa Nova, Natal - RN",78,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-nova-bairros-natal-com-garagem-78m2-aluguel-RS2700-id-2746767904/,Lagoa Nova
"R$ 2.200 /mês
Preço abaixo do mercado",0.0,"Rua Frei Henrique de Coimbra, 3632 - Candelária, Natal - RN",110,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-candelaria-bairros-natal-com-garagem-110m2-aluguel-RS2200-id-2736181313/,Candelária
R$ 2.000 /mês,0.0,"Neópolis, Natal - RN",58,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-neopolis-bairros-natal-com-garagem-58m2-aluguel-RS2000-id-2746544696/,Neópolis
R$ 2.500 /mês,0.0,"Rua Historiador Francisco Fausto de Souza, 885 - Capim Macio, Natal - RN",50,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-capim-macio-bairros-natal-com-garagem-50m2-aluguel-RS2500-id-2746844042/,Capim Macio
R$ 2.199 /mês,0.0,"Capim Macio, Natal - RN",68,3 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capim-macio-bairros-natal-com-garagem-68m2-aluguel-RS2199-id-2718255135/,Capim Macio
R$ 2.000 /mês,460.0,"Rua Engenheiro Vulpiano Cavalcanti Filho - Rocas, Natal - RN",57,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-rocas-bairros-natal-com-garagem-57m2-aluguel-RS2000-id-2743642982/,Rocas
R$ 2.800 /mês,0.0,"Rua Vereador Manoel Sátiro - Ponta Negra, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-56m2-aluguel-RS2800-id-2743888965/,Ponta Negra
R$ 2.400 /mês,1.0,"Avenida Engenheiro Roberto Freire, 43 - Ponta Negra, Natal - RN",44,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-ponta-negra-bairros-natal-com-garagem-44m2-aluguel-RS2400-id-2747664316/,Ponta Negra
R$ 2.100 /mês,0.0,"Rua Professor Pedro Pinheiro de Souza, 95 - Ponta Negra, Natal - RN",54,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-54m2-aluguel-RS2100-id-2733773922/,Ponta Negra
R$ 2.400 /mês,500.0,"Rua Neuza Farache, 1895 - Capim Macio, Natal - RN",79,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-capim-macio-bairros-natal-com-garagem-79m2-venda-RS350000-id-2745248949/,Capim Macio
R$ 2.600 /mês,1.0,"Avenida Engenheiro Roberto Freire, 33 - Ponta Negra, Natal - RN",60,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-60m2-aluguel-RS2600-id-2747664206/,Ponta Negra
R$ 1.100 /mês,500.0,"Rua Escritor Jaime Adour Câmara, 1655 - Capim Macio, Natal - RN",55,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-capim-macio-bairros-natal-com-garagem-55m2-aluguel-RS1100-id-2746491627/,Capim Macio
R$ 1.250 /mês,0.0,"Rua Sebastião Barreto, 4449 - Neópolis, Natal - RN",79,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-neopolis-bairros-natal-com-garagem-79m2-aluguel-RS1250-id-2741429172/,Neópolis
R$ 2.000 /mês,0.0,"Rua Doutor Manoel Augusto Bezerra de Araújo, 175 - Ponta Negra, Natal - RN",60,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-60m2-aluguel-RS2000-id-2654273302/,Ponta Negra
R$ 750 /mês,0.0,"Rua João Alves de Carvalho, 3037 - Ponta Negra, Natal - RN",55,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-55m2-aluguel-RS750-id-2576202953/,Ponta Negra
R$ 2.500 /mês,1.0,"Rua Joaquim Eduardo de Farias, 211 - Ponta Negra, Natal - RN",75,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ponta-negra-bairros-natal-com-garagem-75m2-aluguel-RS2500-id-2743885568/,Ponta Negra
R$ 2.500 /mês,400.0,"Rua Perito José Lourenço, 310 - Lagoa Nova, Natal - RN",54,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-nova-bairros-natal-com-garagem-54m2-venda-RS349000-id-2564325562/,Lagoa Nova
R$ 2.400 /mês,380.0,"Rua Edson Teixeira da Silva, 270 - Ponta Negra, Natal - RN",50,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-50m2-aluguel-RS2400-id-2746213293/,Ponta Negra
R$ 2.900 /mês,0.0,"Rua Poeta Jorge Fernandes, 2205 - Ponta Negra, Natal - RN",58,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-58m2-aluguel-RS2900-id-2745519802/,Ponta Negra
R$ 850 /mês,0.0,"Rua Santa Inês, 255 - Pajuçara, Natal - RN",46,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pajucara-bairros-natal-com-garagem-46m2-aluguel-RS850-id-2746179215/,Pajuçara
R$ 2.700 /mês,0.0,"Avenida Praia de Pirangi, 100 - Ponta Negra, Natal - RN",50,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-50m2-aluguel-RS2700-id-2671044195/,Ponta Negra
R$ 1.400 /mês,0.0,"Rua Poeta Jorge Fernandes, 405 - Ponta Negra, Natal - RN",60,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-60m2-aluguel-RS1400-id-2745250511/,Ponta Negra
R$ 2.600 /mês,0.0,"Ponta Negra, Natal - RN",57,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-57m2-aluguel-RS2600-id-2645608558/,Ponta Negra
R$ 2.600 /mês,0.0,"Avenida Amintas Barros, 1635 - Dix-sept Rosado, Natal - RN",57,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-dix-sept-rosado-bairros-natal-com-garagem-57m2-aluguel-RS2600-id-2744385629/,Dix-sept Rosado
R$ 3.000 /mês,0.0,"Ponta Negra, Natal - RN",36,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-ponta-negra-bairros-natal-com-garagem-36m2-aluguel-RS3000-id-2715070401/,Ponta Negra
R$ 2.500 /mês,0.0,"Rua da Campina - Ponta Negra, Natal - RN",57,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-57m2-aluguel-RS2500-id-2747146094/,Ponta Negra
R$ 1.350 /mês,0.0,"Avenida Poços de Caldas, 1875 - Neópolis, Natal - RN",46,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-neopolis-bairros-natal-com-garagem-46m2-aluguel-RS1350-id-2738584282/,Neópolis
R$ 2.100 /mês,0.0,"Rua da Campina, 140 - Ponta Negra, Natal - RN",54,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-54m2-aluguel-RS2100-id-2710990711/,Ponta Negra
R$ 1.490 /mês,421.0,"Rua Miguel Godeiro Primo, 105 - Ponta Negra, Natal - RN",46,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-ponta-negra-bairros-natal-com-garagem-46m2-aluguel-RS1490-id-2745251039/,Ponta Negra
R$ 2.900 /mês,0.0,"Avenida Capitão-mor Gouveia, 1135 - Nossa Senhora de Nazaré, Natal - RN",70,3 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-nossa-senhora-de-nazare-bairros-natal-com-garagem-70m2-aluguel-RS2900-id-2736934418/,Nossa Senhora de Nazaré
R$ 1.850 /mês,580.0,"Rua Demócrito de Souza Paiva, 818 - Lagoa Nova, Natal - RN",67,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-nova-bairros-natal-67m2-aluguel-RS1850-id-2728560063/,Lagoa Nova
R$ 1.800 /mês,0.0,"Rua Professora Dirce Coutinho - Capim Macio, Natal - RN",73,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capim-macio-bairros-natal-com-garagem-73m2-aluguel-RS1800-id-2747691510/,Capim Macio
"R$ 1.075 /mês
Preço abaixo do mercado",400.0,"Alecrim, Natal - RN",99,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-alecrim-bairros-natal-com-garagem-99m2-aluguel-RS1075-id-2747319637/,Alecrim
R$ 1.900 /mês,0.0,"Rua Amaro Mesquita, 1 - Lagoa Nova, Natal - RN",45,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-lagoa-nova-bairros-natal-com-garagem-45m2-aluguel-RS1900-id-2739841015/,Lagoa Nova
R$ 850 /mês,0.0,"Rua Jairo Tinoco, 1510 - Lagoa Nova, Natal - RN",35,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-lagoa-nova-bairros-natal-35m2-aluguel-RS850-id-2745250212/,Lagoa Nova
R$ 2.200 /mês,0.0,"Rua Comerciário Carlos Serrano, 2003 - Lagoa Nova, Natal - RN",36,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-lagoa-nova-bairros-natal-36m2-aluguel-RS2200-id-2745246625/,Lagoa Nova
R$ 850 /mês,0.0,"Rua Jairo Tinoco, 1510 - Lagoa Nova, Natal - RN",35,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-lagoa-nova-bairros-natal-35m2-aluguel-RS850-id-2745250212/,Lagoa Nova
R$ 2.200 /mês,0.0,"Rua Comerciário Carlos Serrano, 2003 - Lagoa Nova, Natal - RN",36,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-lagoa-nova-bairros-natal-36m2-aluguel-RS2200-id-2745246625/,Lagoa Nova
R$ 2.000 /mês,360.0,"Avenida Praia de Pirangi, 2182 - Ponta Negra, Natal - RN",34,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-ponta-negra-bairros-natal-com-garagem-34m2-aluguel-RS2000-id-2689015451/,Ponta Negra
R$ 2.700 /mês,0.0,"Rua Joaquim Eduardo de Farias, 211 - Ponta Negra, Natal - RN",85,3 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ponta-negra-bairros-natal-com-garagem-85m2-aluguel-RS2700-id-2740688002/,Ponta Negra
"R$ 1.450 /mês
Preço abaixo do mercado",769.0,"Rua Ataulfo Alves, 1898 - Candelária, Natal - RN",65,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-candelaria-bairros-natal-com-garagem-65m2-aluguel-RS1450-id-2745245503/,Candelária
"R$ 1.550 /mês
Preço abaixo do mercado",700.0,"Rua Humberto Monte, 1894 - Capim Macio, Natal - RN",68,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capim-macio-bairros-natal-com-garagem-68m2-aluguel-RS1550-id-2747716319/,Capim Macio
"R$ 1.400 /mês
Preço abaixo do mercado",720.0,"Rua Desembargador José Gomes da Costa, 1887 - Capim Macio, Natal - RN",72,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capim-macio-bairros-natal-com-garagem-72m2-aluguel-RS1400-id-2745248665/,Capim Macio
R$ 2.200 /mês,0.0,"Rua Barão de Lucena, 62 - Pitimbu, Natal - RN",57,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pitimbu-bairros-natal-com-garagem-57m2-aluguel-RS2200-id-2696290882/,Pitimbu
R$ 2.000 /mês,0.0,"Rua Edson Teixeira da Silva, 270 - Ponta Negra, Natal - RN",49,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-49m2-aluguel-RS2000-id-2730653837/,Ponta Negra
R$ 1.800 /mês,0.0,"Rua João Tó, 294 - Ponta Negra, Natal - RN",55,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-55m2-aluguel-RS1800-id-2645722790/,Ponta Negra
R$ 2.500 /mês,0.0,"Rua Aristides Porpino Filho, 512 - Ponta Negra, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-56m2-aluguel-RS2500-id-2746885220/,Ponta Negra
R$ 2.850 /mês,0.0,"Rua Doutor Osvaldo Fortes do Rego, 155 - Ponta Negra, Natal - RN",68,3 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ponta-negra-bairros-natal-com-garagem-68m2-aluguel-RS2850-id-2745309256/,Ponta Negra
